text	label
mi le dijo mi hombre hiciera una prueba por tenia	sadness
quiero esta triste realidad            	sadness
con  tu              	joy
ya esta bien pues total no hagas caso y re	sadness
hermoso dia y yo encerrada en casa con una resaca	sadness
encanta pasar tiempo con mi familia [?]     	joy
este esta jodiendo              	anger
quiero ver los increibles 2          	sadness
boludo so rodrigo              	sadness
rompi el miedo y hoy voy dormir un poco mas	joy
quiero mimos lpm              	sadness
un fin semana no e suficiente        	sadness
estoy do hacerlo              	anger
i ron y pa este dolor tan      	sadness
estoy necesito tanto un abrazo          	sadness
hay                  	anger
eu todo el mundo piensa le hablo mal y but	sadness
estoy esta situacion              	sadness
pizza y                	joy
internet  cada vez anda peor        	anger
estres no puedo dormir justo un dia ante entrar facu	anger
primer dia playa y ya he los pie y los	joy
quiero ir                	sadness
quiero taco san              	sadness
volvi                  	joy
miercoles no pinta como posible buen dia      	sadness
levante contenta y asi hasta vi mi cabello en el	sadness
buena serie porque nadie lo dijo porque      	anger
vamoslau despues ver este partido doy cuenta q los do	sadness
voy llegar casa tarde encima hoy vuelvo laburar    	anger
odio tener rogar para mirar una peli lpm    	anger
sabado paseo familiar              	joy
y ese tal todavia le queda cara hay q ser	anger
mi vale yo manana voy ir escuela      	sadness
ya volvi enfermar              	anger
hace falta como una foto nueve y      	sadness
no quiero ni imaginar lo va ser mi pelo cuando	anger
bronca cuando mi amigas quieren ir atras una pija y	anger
ando muy alegre              	joy
facil                  	joy
alguien para hacer algo            	sadness
quiero banarme comer y dormir tres dias      	sadness
te extrano                	sadness
en fb aparecen publicaciones cada otras do publicaciones    	anger
no estaria pasando nunca            	sadness
sad san miguel              	sadness
automaticamente un man cuando escucha decir mi     	sadness
ya en tus para vea bien los pero no  	sadness
extrano demasiado los domingo asado mi viejo en casa 	sadness
rio si e un rio          	sadness
estoy entrando en una lleva el diablo      	anger
el ultimo dia vacaciones lo termine rompiendo mi pantalones al	sadness
desde se fueron mi sobrinos duele cabeza todos los dias	sadness
podemos junto                	joy
buen humor               	joy
lo se se              	sadness
buenas noches manana seguir trabajando en casa mi princesa  	joy
solo espero no sean malas noticias        	sadness
seria mas facil si no te tan lindo conmigo  	sadness
hoy decidi voy ser feliz fuerte y todo no por	joy
ya no e lo mismo ya di cuenta no queres	sadness
cuando vuelvo clases y veo mi y amiguitos [?] cuando	anger
tan linda noche y yo encerrada        	sadness
tan cerca y tan lejos te echo tanto menos  	sadness
niego seguir los niego tener poner alarma 7am    	anger
algo peor no disfrutar con familia por culpa del trabajo	sadness
cara                  	anger
verguenza                  	sadness
rabia wn por favor no el fin semana    	anger
so no                	sadness
tan hermoso lo habian dejado          	anger
como cuesta                	sadness
tengo sueno                	sadness
manana tengo do pruebas y no estudie      	joy
tan real duele              	sadness
felizsabado sonrisa en sale del corazon y en boca  	joy
hoy desperte con ganas hacerla pedo        	joy
empieza molestar                	anger
tengo tanto trabajo              	sadness
mate y facturas              	joy
estoy hambre                	sadness
parte traen el reggaeton todo volumen        	joy
tu vida                	sadness
sone estaba comprando zapatos y el celular sono justo ante	sadness
prefiero no mirar quien ve mi porque cuando lo hago	joy
andres cepeda letra              	sadness
da demasiado miedo andar en un carro madrugada no sea	joy
este e el fin el          	joy
hora levantarse por comida            	joy
voy tener otra cosa porque el amo no e lo	sadness
ni ano por victima barato sale matar en algunos casos	sadness
no mas                	sadness
ahora e                	sadness
se olvido mi cartera se 5 pa el metro si	sadness
un fin semana completamente y lleno no arrepiento nada  	joy
bueno duele el cuerpo            	anger
realmente debe estar bravo conmigo aunque le da tan igual	sadness
feo sentimiento                	sadness
mega caga los hombre con los  o sea no	anger
bue mira por lo q foto perfil      	sadness
si alguien se pal mac          	sadness
por ponen su celular en modo avion      	anger
come uno y al rato ya        	sadness
estaba tan mi cama            	sadness
ustedes no saben el da cada vez subo una historia	anger
si                  	sadness
no se porque da sueno cuando no tengo con quien	sadness
una semana                	joy
chale si fueron alto sin mi        	sadness
mucho jode este nene            	anger
lo mejor uno puede leer un lunes 9 am  	joy
soy esas persona si el closet esta siquiera un dedo	joy
asi soy yo              	sadness
el tiene                	joy
q saco                	anger
corazon tan pero tan tiene esta senora      	sadness
le pasa si una prima no te tiene en whats	sadness
mi mas en mi lo yo quisiera  lo siento	anger
ahora si ya estoy sensible mejor regreso mi casa  	sadness
una pelicula plis o            	joy
mi nariz                	sadness
nadie para los mate            	sadness
not bro i wa in 10 pm  hijo santa	joy
bue unas semanas y el combo del dia en el	anger
posta con sofi deprime porque cuando no esta no se	sadness
quisiera poder jugar wow            	sadness
el semestre pasado escuela y este pues apenas y estoy	joy
preocupa                  	sadness
como un simple mensaje cambio manana        	sadness
necesito un ella urgente            	sadness
una ganas jugar futbol y no puedo      	anger
mamada                  	anger
e gracioso pero pasa con do siguen      	joy
siempre lo                	sadness
otra vez sin foto y sin  no voy cambiar	anger
vida e bella              	joy
saco                  	sadness
hay dias en los pregunto si fue decision correcta  	sadness
ando escuchando disco ni acordaba los habia escuchado nostalgia  	sadness
ni tendria extranarte onda conmigo          	sadness
el peor dia mi vida un dia como hoy todo	sadness
gracias todos los se el tiempo y pasar este dia	joy
hoy hace 1 ano            	sadness
? por odio y una persona si puedes    	joy
mate se toma todo el dia todos los dias  	joy
el chiste cuenta solo            	sadness
entrar nuevo trae muchos recuerdos y llena nostalgia    	sadness
ire gente                	joy
para acorde loco ahora voy hacer cabeza e resto del	anger
abuelo gracias por el mejor papa del mundo   	joy
feo cuando no salis y te cuentan lo piola estuvo	sadness
espero este comiendo bien y se muchisimo      	anger
esta mas tranquilo familiar            	anger
dicha lo no alcanza            	sadness
verdad si  y sus          	sadness
acordar vaya nuevo una fiesta asi        	anger
tengo dejar sacar mi cuando estoy con no gusta tener	anger
pues llevo 12 horas tarea nada raro en epoca y	joy
mami e hoy cuando ma necesito un abrazo tuyo  	sadness
fastidio con esa gente los pie al caminar    	anger
como no voy tener wifi ni linea      	anger
ahora tengo subir peso no subo ni 1    	anger
creo te voy odiar vos y tu      	joy
6 dia                	joy
para mi esta re lindo el dia      	joy
e cierto uno no debe por pero ese par persona	sadness
no le deseo muerte solo no se      	joy
le dije mi mama 10 estaba en su casa todavia	joy
odio                  	sadness
enferma ver en cuentas twitter nada mas porque si yo	anger
del orto se hace voy cagar pinas      	anger
gran error                	sadness
como te extrano libertadores            	sadness
parce tras del hecho uno le sale gente    	anger
para muchos no serum gran cosa pero para mi y	sadness
to                  	sadness
como voy hacer para dormir solo hoy      	sadness
grabe                  	anger
y no merecen menos            	joy
mi meta e bajar 15 kilo en 3 amp lo	joy
ademas terminar entender no todo e malo y todo puede	joy
nunca ni con el rosa guadalupe        	sadness
cuanto valen unos drone quiero hacer una      	joy
ganas hablarle y todo vuelva ser como ante pero se	sadness
necesito mucho como ayer            	sadness
decepcion cuando para tantas persona se terminaron re cagando en	joy
hoy se y estoy un 40        	sadness
seria mi vida si no tuviera mi abuelos    	joy
urge alguien para coger despues ver estoy muy    	sadness
supongo si nunca he amado una pareja      	joy
mal                  	sadness
se ya estoy vieja porque por mas veces le he	sadness
ante nadie le dio un para        	anger
gracias por decirme todo el mundo salio mientras yo estaba	joy
mi novio y yo hicimos buena obra del dia con	sadness
no puedo con gente se queja por todo y no	sadness
algo se tendra              	sadness
ojala bien                	sadness
hay persona llegan tu vida para quedarse definitivamente    	joy
mucho ingles mucho ingles y tienen unas faltas ortografia terribles	sadness
vuelta                  	joy
se taller sobre como salir en ellas y volver salir	joy
en este momento estaria odiando          	anger
porra                  	anger
si e verdad los ninos hasta pueden el mal rato	joy
no se da cuenta deje todo parece      	anger
estos minutos ante 700 pm se hacen      	anger
animo esto e muy injusto con todo el trabajo tan	joy
no entiendo ya              	sadness
en verdad lo extrano demasiado y mi hermosa    	sadness
acorde del final the y puse triste      	sadness
mal                  	anger
soy del mundo              	joy
no                  	sadness
necesito hablar con alguien  urge        	sadness
no estoy llorando se metio un si te queria ver	sadness
gracias por como toda vida basura eres      	joy
ahora siento mal mi amigo este esperando 5 anos el	sadness
? porque e tan dificil subir peso      	sadness
queria al menos mi ya tienen un color mas  	joy
en valencia podria ser el titulo una novela pero no	sadness
ahora si e oficial sin barba hasta nuevo aviso  	sadness
da bronca le salga todo mal jajajaj      	anger
20 in day se no esta poniendo viejito ya  	sadness
solo horas para se vaya          	sadness
para mi y yo no hablo con muertos    	joy
"hoy en mi recuerdos facebook un "" mi amor """	sadness
le el dedo chiquito            	anger
siento amor al e todo lo vivo      	sadness
siempre dejando todo ultimo momento          	joy
por favor y gracias            	joy
no estuve en para el cumple mi abuelos algo mas	sadness
largo se va hacer este          	sadness
e tan hermosos este video por chucha      	joy
ojala el futbol como ti te gusta para bebe  	sadness
lindo despertarme y tener esos msj        	joy
hoy juego y duele el tobillo lpm      	sadness
ese era el barca            	anger
todavia ni entro clases y ya cambiarme manana    	sadness
hoy estuve en y le regale una camiseta    	joy
tengo un companero habla espanol ingles frances y aleman y	joy
quiero irme muy lejos y mi viejos por un tiempo	sadness
yo queria hablar con el          	sadness
algo esta pasando              	joy
asi como cuando tu telefono se un video especial y	sadness
quiero facturas                	sadness
el piercing dormido toda almohada con sangre deje    	anger
lo estaria necesitando un abrazo          	sadness
ay no pongas esa amo mucho [?]      	sadness
hey por si lee esto te extrano      	sadness
en horas no se dia porque no se mas y	sadness
ya manana quito barba            	joy
pense se estaba remera en foto jajaj casi   	joy
no espera estos 4 anos          	sadness
y yo aqui en chinga          	sadness
el destino se              	sadness
no existe peor sensacion            	sadness
molesta hable mi jefa no ve estoy     	anger
bien los pibes hoy ahora dormir        	joy
debo mas ultima vez te vi        	sadness
mi crush maldita              	anger
lindo dia para estar tomando mate e una plaza y	sadness
genial te y seguir adelante con el proceso    	joy
recien despertando                	joy
ya lo han encontrado ! muchas gracias todos los  	joy
necesito mas amigo como dejar el        	joy
pesar todo hoy siento va ser un buen dia  	joy
 bueno esto e para importantes para mi y para	joy
veces cambios son buenos            	joy
ahora ya estoy vacaciones y ya estare mas tiempo aqui	joy
todo muy lindo con alla un bebe en casa pero	sadness
decepcion                  	sadness
el sol pone buen humor          	joy
serio ya no quiero tomar          	joy
e esto                	joy
justo mi cora ahora            	sadness
todos los dias acuerdo mi gata  ya ha pasado	sadness
casi termine bien un dia eso ya e todo un	joy
yo tampoco estoy preparada            	sadness
? se hizo el            	sadness
perdon vecinos yo tambien mi madre si un carro no	sadness
esperando ver soledad en los 50 mirtha      	sadness
diosito solo te pido mi abuelita dure con nosotros mas	sadness
no se si tengo o soy el mismo idiota en	sadness
extrano sentir tu piel            	joy
espero cosas no van            	sadness
ahora estan porque son asi          	joy
asco vida dia existencia y todo        	sadness
como odio y pone mal humor ver el auto  	anger
yo ya habia planeado nuestra boda pero no y asi	joy
como odio estar asi            	anger
diablo fuerte                	sadness
recien llego mi casa y estan toda tengo dormir en	anger
alguien quiera un mi cuenta spotify mil e mi cuenta	joy
tenia muchas ganas parte fuerza pero con todo lo q	sadness
ma no puedo ser una          	anger
hasta esa suerte voy tener          	anger
ahora si ya se puede esta cosa      	joy
un estomago                	sadness
yo pq soy solo un          	sadness
te llame un 24 para si ibamos ir al cine	sadness
no sea tan              	joy
ya extrano                	sadness
para si sabes con esa voz enferma tenes gracias hermana	joy
esa no fue manera            	sadness
5 anos  y te extrano como nunca    	sadness
acabo ver una un perro se parece demasiado al mio	sadness
ya no quiero sentirme asi          	sadness
sueno tan                	sadness
yo no veo lo            	anger
mi talento e sentir y decir cosas bonitas para se	joy
bueno ya puedo ir esta gripe se acerca el finde	anger
buenas noches manana arranque una semana        	joy
ya tu sabes bb            	joy
no se porque estoy sintiendo nuevo esto      	sadness
caga vayan e ir en va perdiendo      	anger
ya dio pereza salir            	sadness
triste                  	sadness
yo siempre duermo mal            	sadness
ya el capitulo 4 el 5 falta el 6 y	joy
con esta calor no se puede dormir      	anger
caga engordar  manana comienzo con puro agua simple y	anger
? varias ninas al mismo tiempo hijos toda su madre	joy
del marginal  micaviciconteig micaelistas kcaargentina        	joy
cada ano se hace ma larga epoca examenes    	sadness
hubiera pasar este dia contigo  [?]      	sadness
ahora si ya e ya          	anger
saldre caminar en noche asi mas mi mente    	sadness
extrano                  	sadness
manera perder el tiempo con el        	anger
excelente programa con un lindo final  lugaresquehablan    	joy
hago todo mal              	sadness
cd no puedes dormir y f twitter como una 20	joy
ya aprendi aceptar estando asi en puedo ser    	joy
no te con estoy            	sadness
esto dormir en el y tener despertarme x cualquier ruido	anger
e buen                	joy
callate eran 9 cuando conoci          	sadness
este telefono anda un por nada y lo contra pared	anger
como odio el wifi casa          	anger
y lo no espera            	sadness
no puedo vivir con esta angustia        	sadness
y en no hay            	anger
uno e jugador hasta conoce pizza borde con    	sadness
dame un beso eso hasta el lunes  pero solo	joy
donde diablos se han ido mi ganas dormir    	sadness
dolor cabeza                	sadness
caga le digan al taco tortilla normal alv    	anger
yo cuando fui jajaja            	sadness
si asi empece manana no quiero imaginar lo queda del	joy
y si no le gusta mi perro pues entonces no	anger
escucharlo jodio bien duro            	sadness
manana tengo practica y yo aqui bien pendeja llorando por	joy
debe ser bonito              	sadness
si hay algo odio e gente haga esperar cuando se	anger
va ganando fotos asi no hare dibujos y un momento	joy
porque mi papa no e un hombre      	sadness
duda aqui                	joy
extrano mucho ese dia ese momento        	sadness
! fuera el intenso fuera mi crush y no este	sadness
todo sale mal              	sadness
nose porq estoy despierta esta hora un sabado  todo	joy
vamos vos podes              	sadness
uh para tenes celular sino va responder nunca en vida	anger
cuando se te cante el orto        	anger
6                  	joy
no deseo el mal pero ojala el robo el celular	anger
pasando por se ve el humo del      	sadness
vato soy dando el  solo se abrazar nunca salen	sadness
todos los del 2018            	joy
no tanto sus gente y situacion        	anger
mi vieja para tomar pastilla dios mio      	anger
como para no al momento decidir algo  verdad  	joy
? alguien quiera conmigo            	sadness
manera extranar                	sadness
solo tres persona estaran en el  suerte  flor	joy
e lo peor estar mal humor        	anger
encontre conversaciones con fer y e imposible no ojala pueda	sadness
estar solo lejos casa con insomnio y escuchando e buena	sadness
literal miguel y yo cuando amaba        	sadness
no podia faltar en el pablo el sea por el	sadness
facil te e una persona fria ni le pasas por	sadness
increible lo mal siento y lo mucho duele todo el	sadness
uno no puede ir al bano en paz porque ya	sadness
hola                  	joy
rico fue pasar unas horas haciendo exactamente lo tenia ganas	joy
primer paso para tener una cintura no ir comer hamburguesa	sadness
mate y chocotorta cn            	joy
cine probablemente nunca llegara mexico          	sadness
2 quimica 3              	anger
lo malo vivir en el quinto e tengo salir con	joy
su novia ya gano donde estas los hombre asi  	sadness
un                  	anger
chingados estan en el otro lado        	anger
y sentimientos no deseo volver  angustia miedo tristeza dolor	sadness
tan mal voy sentir            	sadness
bueno y asi un cumpleanos ma  con muchas sorpresas	joy
cuanto este partido              	joy
lo trato hacer              	joy
e clave vez q tengo plane salir con mi amigas	anger
donde ser siempre tu ese e el lugar perfecto  	joy
detesto el calor              	anger
luna hablame no puedo saber pasa si no hablas  	sadness
estoy re no puedo dormir loco        	anger
se acabo el fin semana          	sadness
yo tmb jugar play            	anger
aun sufro al pensar todo acabo asi      	sadness
dejate joder jaja ni el dia recien estoy dejen llevarme	sadness
voy levantar solo para ir comprarme        	sadness
tanto duele cabeza              	anger
soy yo                	sadness
lo no e coincidencia e te haya tus do numeros	sadness
paja todo                	sadness
levante para llorar solamente            	sadness
ver como va este pinche semestre        	joy
estoy esperando mi dias asi basura donde trabajo    	joy
siempre todos se van viaje no tengo cono comer  	sadness
estos partidos no fin temporada ctm        	anger
? pedo voy saliendo banar y ya no gol  	sadness
porque hay gente no deja hablar en el cine  	anger
como no podemos ser uno          	anger
estres facultad salud              	joy
ojala se pudiera mandar en lo sientes ojala gente ojala	sadness
en momentos como este molesta mucho no ser una pro	anger
un re                	joy
hay persona te esperan 2 anos y otras te en	sadness
cansada quedarme en mi casa siempre        	anger
una buena sonrisa              	joy
dios mio como extranaba estos dias        	joy
estoy re pero no podemos ser nada feo    	sadness
como hace falta mi vieja          	sadness
cuando todo esta bien todo se ve bien    	joy
ganas un kilo helado pero en do dias tengo pesar	joy
por pedro barra libre            	sadness
tomando y disfrutando pero no te saco mi mente  	sadness
se chingo el primer dia trabajo y con buena  	joy
odio laburar noche              	anger
especial para ir cancha            	joy
y esperar para nada            	anger
lo dicho en cara lo he perdido      	joy
yo solo queria algo bonito          	sadness
le quise pegar al chingon con fantasia y ahorita no	joy
extrano mi novio              	sadness
ultimamente lucas le esta dando  algo pasa con el	anger
cuando tenga mi hijos jaja          	joy
no se puede esperar mucho tan poco      	sadness
alguien haga maletas y mia ando        	sadness
ya voy casa felicidad            	joy
ganas poner al chofer del bus como el calor y	anger
9 ya estaba dormido y entra mi hermana preguntarme si	anger
ganas volver hacer para tener amigo        	sadness
no quiero ir              	sadness
? hasta cuando ese karma llamado plata      	sadness
y no te cuenta            	sadness
deberia estar prohibido tener ir trabajar cuando los dias estan	anger
adios mi amigo  falta          	sadness
siento re mal no tengo ganas nada      	sadness
te                  	sadness
quisiera todo fuera un mal del destino y dios  	sadness
quiero llorar hasta el            	sadness
menudo gasto                	joy
echo pelota como costumbre            	sadness
extrano mi male              	sadness
lindo dia fue el hoy          	joy
para llamo sofia estaba durmiendo          	anger
coraje hombre                	anger
muchas cosas hacemos por necesidad y no por querer  	sadness
camila o                	anger
no tengo sueno  sigo emocionada el numero 1 para	joy
cande invito                	joy
voy un finde y mi casa e cualquier cosa vieja	joy
en semana no tengo ningun problema levantarme para ir trabajar	sadness
porque nadie puede querer como yo te quiero ti 	sadness
cansada pelear siempre por lo mismo        	sadness
compartir un domingo no e joda no      	joy
comer dulce leche y no el gusto      	sadness
ya no tengo alguien para poder contarle mi problemas  	sadness
lo unico para este tan e inviten      	sadness
triste pone ver jugar mi equipo y yo no este	sadness
siempre esta ahi              	joy
so                  	sadness
ahora voy dormir              	joy
no pues estoy bien            	joy
hablar con siempre e buena opcion        	joy
este si se hace sentir mi luna      	joy
buenas tardes                	joy
apetece hacer un por un ratito        	joy
feo e sentir estoy todo lo alguna vez aprendi  	sadness
fue buen dia hoy  amo estar con toda mi	joy
maravilloso dia                	joy
pero sin claro              	joy
odio ver mi amigo odio lo        	joy
porque los se vuelven amores para mi      	sadness
se parecen unas jajajaja            	joy
cosa tan terrible              	sadness
vaya para dar gracias            	joy
po yo estoy bien            	joy
esta gente e no entiendo como tienen seguidores y son	anger
y aprovechar nuevas oportunidades educacion estan        	joy
posta le extrano un monton          	sadness
nada e igual              	sadness
no hay cafe              	sadness
empezando mal               	sadness
ni pinta llegue mi cumple          	joy
soy feliz tomando con victoria          	joy
como aburro joder              	anger
increible lo importante eres para mi        	joy
le quiero                	sadness
sabado en cama meta netflix noma no queda otra  	sadness
cada palabra esa cancion grita el nombre      	sadness
yo he perdido amores pero este amor no lo quiero	sadness
si alguien se grupo wpp avisa y los    	joy
despues tantas noches al fin pude dormir un horario normal	sadness
omg pero acabo ver            	joy
definitivamente no fue un buen domingo        	sadness
do anos tu partida y aun no puedo te extrano	sadness
todo parecia bien y al final termino en nada  	sadness
quiero cambiar                	sadness
mi hermana e un desastre en cocina      	anger
clase di                	sadness
en ahora mismo carolina por su tercer mundial    	joy
yo te hubiera              	sadness
buenos dias                	joy
e como dormi 3 h d siesta 12 d noche	joy
el mejor domingo lejos            	joy
e muy triste ver mi libro vuelto nada    	sadness
tengo una semana en monterrey y muero antojo unos taquitos	sadness
10 en mi insta alguien uso mi insta y bloqueo	anger
ando con una cara orto hermosa el dia hoy  	joy
llego hora escuchar canciones tristes con luz      	sadness
si tu                	joy
tan importante eres para tu mama cuando cree recien estas	joy
fua todos son iguales            	anger
creo acabo cargar el            	joy
uno se cansa ser fuerte y tener salir toda solo	sadness
