,text,label
99,despues muchos anos se puede el oro e bueno  ,joy
100,aburrimiento tengo                ,sadness
101,ya manana se acaba el          ,sadness
102,lo odio muy mucho            ,anger
103,feo e este enfermo y no poder quedarme    ,sadness
104,cuando tienes cara              ,joy
105,si no e no e justicia        ,anger
106,soy tan sensible pone mal si el esta mal  ,sadness
107,nada peor llegar casa pensando en milanesa dejado y no,joy
108,hace dano porfa              ,joy
109,subo o no subo el video        ,sadness
110,malditas ganas besarte y no poder        ,sadness
111,no te creo nada            ,joy
112,y por el pueblo            ,anger
113,di tambien estaba perder 1 0 tapia      ,anger
114,necesito amigo nuevos quien se          ,sadness
115,lo extrano mucho              ,sadness
116,dificil e ver tu senora madre triste y no poder,sadness
117,toda tarde con sueno y cuando quiero dormir no puedo,anger
118,yo tengo ma un alguien hacen mi vida mas dulce,joy
119,y si son 12 am por favor      ,joy
120,tengan todos los lean este mensaje lo mejor vida deseo,joy
121,se darle un abrazo sonriendo          ,joy
122,yo tratando hacer toda tareas puedo en el fin semana,joy
123,cansada estoy                ,sadness
124,verdad fue una buena platica          ,joy
125,pinche trafico                ,anger
126,usar una vez y            ,joy
127,ok ni hablemos los video y los di para mesa,joy
128,24 horas irme pasan estas cosas        ,sadness
129,he ido playa por tarde y verdad lo mejor pa,joy
130,pesadilla otra f              ,sadness
131,extranando                  ,sadness
132,y donde esa pendeja lo mato alv pinche fea  ,sadness
133,con primo como nahuel pa quiero        ,anger
134,hacer hacer hacer y seguir haciendo        ,joy
135,con una                ,sadness
136,podrida estoy                ,anger
137,necesito un abrazo y solo tu lo puedes dar  ,joy
138,fuimos al encuentro con y no ganamos una bolsa  ,joy
139,? se acuerdan hace una semana ya queria entrar escuela,joy
140,hoy quedo en casa calentita          ,joy
141,triste noticia fui al desde jardin        ,sadness
142,si pudiera los todos            ,sadness
143,descuidas do minutos y ya estoy comprando un pasaje para,joy
144,enferma si tenes alguna duda preguntame        ,anger
145,rico e despertarse esta hora          ,joy
146,si senor veces puedo ser muy hp      ,anger
147,he levantado como una y se han pocas ganas tenia,joy
148,no quiero el miercoles en noche llegue      ,sadness
149,e increible esta hora no puedo seguir durmiendo si no,joy
150,abrir insta ver una foto y wea se despues paso,sadness
151,pero no te importa no te importa nada q haga,sadness
152,va hacer otro hermoso dia          ,anger
153,al el fondo pantalla al telefono 5 veces por dia,joy
154,fue un placer contigo en esta vida      ,joy
155,ahorita ando llorando gastritis pero ayer bien con sus cervezas,anger
156,ta ya esta ya siento mejor        ,joy
157,pregunta seria le hablo al hombre del estoy enamorado para,sadness
158,estoy re                ,sadness
159,en vida todo e y cada cosa y trae su,joy
160,lo unico lindo del franco e poder hablar con mi,joy
161,ele seguia                ,sadness
162,mate y facturas con mi familia mi mejor domingo  ,joy
163,extrano                  ,sadness
164,parece hasta te gusta hacerme sufrir        ,sadness
165,ganas sentir le hago bien y soy para ella  ,sadness
166,y por cocinar              ,joy
167,mi team trabajo ya estan por estoy comiendo carne en,sadness
168,quisiera ver los estos juegos el al companero adelante y,anger
169,ok ya tengo irme aqui estoy 2 cambiar mama  ,anger
170,le mando mi papa para decirle algo no quiero escuche,anger
171,solo quiero una llamada no llegara nunca     ,sadness
172,mi cumpleanos con amigo            ,joy
173,duele una banda el estomago          ,sadness
174,mi corazon y  buenas noches        ,sadness
175,sigue chiste                ,sadness
176,no le queda otra ya en argentina no le hicieron,anger
177,ganas estar ahi              ,sadness
178,no debi haber visto nunca infinity war      ,sadness
179,cagada pana                ,sadness
180,belleza e mentira busca en el corazon      ,joy
181,no molesta eso              ,anger
182,porque verdad duele tanto            ,sadness
183,no estoy llorando              ,sadness
184,equivoque                  ,sadness
185,noche puro netflix y helado con mi      ,joy
186,rehuso comenzar clases manana  esto e injusto    ,anger
187,pregunta seria ? cuanto dura un guayabo      ,sadness
188,este se cumple un ano mi max lo extrano tanto,sadness
189,buen inicio semana todos            ,joy
190,santa paciencia quiero ver el y nada mas hacen poner,anger
191,? alguien sabe donde o perros sean chica    ,joy
192,partio el alma              ,sadness
193,un hombre mayor acaba decir ojala mi belleza dure anos,joy
194,asi querias ser presidente se quede en el casa mejor,anger
195,y culpa tiene el ignorancia humana hdp      ,anger
196,encanta este libro y recien lo empiezo      ,joy
197,dormi ante y ahora estoy entre dormida y despierta pero,sadness
198,si no ya no e mi problema      ,joy
199,hacer mia y listo ya          ,joy
200,no puede haber un poco alcohol en mi casa por,sadness
201,lo q faltaba para completar el        ,anger
202,llegar tu casa y no tener sueno y no tener,sadness
203,sera hace un monton no extrano nadie      ,joy
204,quiero irme lejos estar solo          ,sadness
205,buenos dias crush cumple manana          ,joy
206,vueltas dan mucha vida            ,joy
207,no puedo dormir              ,sadness
208,lastima perdi seguidores              ,sadness
209,onda pa eso hay tenis esos son      ,anger
210,siento siento no hago lo correcto siento aqui no soy,sadness
211,? conocen alguien sepa hacer en        ,sadness
212,gracias dios no en pc ayer porq siempre comen oreja,anger
213,ya empezaron otra vez quitar maldita luz      ,anger
214,el cambio sin tanto drama lo e pa su e,joy
215,el y yo partir hoy          ,joy
216,tal vez en otra vida          ,sadness
217,estoy muy sad ahora mismo          ,sadness
218,mi lleve el diablo            ,sadness
219,mi le dijo mi hombre hiciera una prueba por tenia,sadness
220,quiero esta triste realidad            ,sadness
221,con  tu              ,joy
222,ya esta bien pues total no hagas caso y re,sadness
223,hermoso dia y yo encerrada en casa con una resaca,sadness
224,encanta pasar tiempo con mi familia [?]     ,joy
225,este esta jodiendo              ,anger
226,quiero ver los increibles 2          ,sadness
227,boludo so rodrigo              ,sadness
228,rompi el miedo y hoy voy dormir un poco mas,joy
229,quiero mimos lpm              ,sadness
230,un fin semana no e suficiente        ,sadness
231,estoy do hacerlo              ,anger
232,i ron y pa este dolor tan      ,sadness
233,estoy necesito tanto un abrazo          ,sadness
234,hay                  ,anger
235,eu todo el mundo piensa le hablo mal y but,sadness
236,estoy esta situacion              ,sadness
237,pizza y                ,joy
238,internet  cada vez anda peor        ,anger
239,estres no puedo dormir justo un dia ante entrar facu,anger
240,primer dia playa y ya he los pie y los,joy
241,quiero ir                ,sadness
242,quiero taco san              ,sadness
243,volvi                  ,joy
244,miercoles no pinta como posible buen dia      ,sadness
245,levante contenta y asi hasta vi mi cabello en el,sadness
246,buena serie porque nadie lo dijo porque      ,anger
247,vamoslau despues ver este partido doy cuenta q los do,sadness
248,voy llegar casa tarde encima hoy vuelvo laburar    ,anger
249,odio tener rogar para mirar una peli lpm    ,anger
250,sabado paseo familiar              ,joy
251,y ese tal todavia le queda cara hay q ser,anger
252,mi vale yo manana voy ir escuela      ,sadness
253,ya volvi enfermar              ,anger
254,hace falta como una foto nueve y      ,sadness
255,no quiero ni imaginar lo va ser mi pelo cuando,anger
256,bronca cuando mi amigas quieren ir atras una pija y,anger
257,ando muy alegre              ,joy
258,facil                  ,joy
259,alguien para hacer algo            ,sadness
260,quiero banarme comer y dormir tres dias      ,sadness
261,te extrano                ,sadness
262,en fb aparecen publicaciones cada otras do publicaciones    ,anger
263,no estaria pasando nunca            ,sadness
264,sad san miguel              ,sadness
265,automaticamente un man cuando escucha decir mi     ,sadness
266,ya en tus para vea bien los pero no  ,sadness
267,extrano demasiado los domingo asado mi viejo en casa ,sadness
268,rio si e un rio          ,sadness
269,estoy entrando en una lleva el diablo      ,anger
270,el ultimo dia vacaciones lo termine rompiendo mi pantalones al,sadness
271,desde se fueron mi sobrinos duele cabeza todos los dias,sadness
272,podemos junto                ,joy
273,buen humor               ,joy
274,lo se se              ,sadness
275,buenas noches manana seguir trabajando en casa mi princesa  ,joy
276,solo espero no sean malas noticias        ,sadness
277,seria mas facil si no te tan lindo conmigo  ,sadness
278,hoy decidi voy ser feliz fuerte y todo no por,joy
279,ya no e lo mismo ya di cuenta no queres,sadness
280,cuando vuelvo clases y veo mi y amiguitos [?] cuando,anger
281,tan linda noche y yo encerrada        ,sadness
282,tan cerca y tan lejos te echo tanto menos  ,sadness
283,niego seguir los niego tener poner alarma 7am    ,anger
284,algo peor no disfrutar con familia por culpa del trabajo,sadness
285,cara                  ,anger
286,verguenza                  ,sadness
287,rabia wn por favor no el fin semana    ,anger
288,so no                ,sadness
289,tan hermoso lo habian dejado          ,anger
290,como cuesta                ,sadness
291,tengo sueno                ,sadness
292,manana tengo do pruebas y no estudie      ,joy
293,tan real duele              ,sadness
294,felizsabado sonrisa en sale del corazon y en boca  ,joy
295,hoy desperte con ganas hacerla pedo        ,joy
296,empieza molestar                ,anger
297,tengo tanto trabajo              ,sadness
298,mate y facturas              ,joy
299,estoy hambre                ,sadness
300,parte traen el reggaeton todo volumen        ,joy
301,tu vida                ,sadness
302,sone estaba comprando zapatos y el celular sono justo ante,sadness
303,prefiero no mirar quien ve mi porque cuando lo hago,joy
304,andres cepeda letra              ,sadness
305,da demasiado miedo andar en un carro madrugada no sea,joy
306,este e el fin el          ,joy
307,hora levantarse por comida            ,joy
308,voy tener otra cosa porque el amo no e lo,sadness
309,ni ano por victima barato sale matar en algunos casos,sadness
310,no mas                ,sadness
311,ahora e                ,sadness
312,se olvido mi cartera se 5 pa el metro si,sadness
313,un fin semana completamente y lleno no arrepiento nada  ,joy
314,bueno duele el cuerpo            ,anger
315,realmente debe estar bravo conmigo aunque le da tan igual,sadness
316,feo sentimiento                ,sadness
317,mega caga los hombre con los  o sea no,anger
318,bue mira por lo q foto perfil      ,sadness
319,si alguien se pal mac          ,sadness
320,por ponen su celular en modo avion      ,anger
321,come uno y al rato ya        ,sadness
322,estaba tan mi cama            ,sadness
323,ustedes no saben el da cada vez subo una historia,anger
324,si                  ,sadness
325,no se porque da sueno cuando no tengo con quien,sadness
326,una semana                ,joy
327,chale si fueron alto sin mi        ,sadness
328,mucho jode este nene            ,anger
329,lo mejor uno puede leer un lunes 9 am  ,joy
330,soy esas persona si el closet esta siquiera un dedo,joy
331,asi soy yo              ,sadness
332,el tiene                ,joy
333,q saco                ,anger
334,corazon tan pero tan tiene esta senora      ,sadness
335,le pasa si una prima no te tiene en whats,sadness
336,mi mas en mi lo yo quisiera  lo siento,anger
337,ahora si ya estoy sensible mejor regreso mi casa  ,sadness
338,una pelicula plis o            ,joy
339,mi nariz                ,sadness
340,nadie para los mate            ,sadness
341,not bro i wa in 10 pm  hijo santa,joy
342,bue unas semanas y el combo del dia en el,anger
343,posta con sofi deprime porque cuando no esta no se,sadness
344,quisiera poder jugar wow            ,sadness
345,el semestre pasado escuela y este pues apenas y estoy,joy
346,preocupa                  ,sadness
347,como un simple mensaje cambio manana        ,sadness
348,necesito un ella urgente            ,sadness
349,una ganas jugar futbol y no puedo      ,anger
350,mamada                  ,anger
351,e gracioso pero pasa con do siguen      ,joy
352,siempre lo                ,sadness
353,otra vez sin foto y sin  no voy cambiar,anger
354,vida e bella              ,joy
355,saco                  ,sadness
356,hay dias en los pregunto si fue decision correcta  ,sadness
357,ando escuchando disco ni acordaba los habia escuchado nostalgia  ,sadness
358,ni tendria extranarte onda conmigo          ,sadness
359,el peor dia mi vida un dia como hoy todo,sadness
360,gracias todos los se el tiempo y pasar este dia,joy
361,hoy hace 1 ano            ,sadness
362,? por odio y una persona si puedes    ,joy
363,mate se toma todo el dia todos los dias  ,joy
364,el chiste cuenta solo            ,sadness
365,entrar nuevo trae muchos recuerdos y llena nostalgia    ,sadness
366,ire gente                ,joy
367,para acorde loco ahora voy hacer cabeza e resto del,anger
368,abuelo gracias por el mejor papa del mundo   ,joy
369,feo cuando no salis y te cuentan lo piola estuvo,sadness
370,espero este comiendo bien y se muchisimo      ,anger
371,esta mas tranquilo familiar            ,anger
372,dicha lo no alcanza            ,sadness
373,verdad si  y sus          ,sadness
374,acordar vaya nuevo una fiesta asi        ,anger
375,tengo dejar sacar mi cuando estoy con no gusta tener,anger
376,pues llevo 12 horas tarea nada raro en epoca y,joy
377,mami e hoy cuando ma necesito un abrazo tuyo  ,sadness
378,fastidio con esa gente los pie al caminar    ,anger
379,como no voy tener wifi ni linea      ,anger
380,ahora tengo subir peso no subo ni 1    ,anger
381,creo te voy odiar vos y tu      ,joy
382,6 dia                ,joy
383,para mi esta re lindo el dia      ,joy
384,e cierto uno no debe por pero ese par persona,sadness
385,no le deseo muerte solo no se      ,joy
386,le dije mi mama 10 estaba en su casa todavia,joy
387,odio                  ,sadness
388,enferma ver en cuentas twitter nada mas porque si yo,anger
389,del orto se hace voy cagar pinas      ,anger
390,gran error                ,sadness
391,como te extrano libertadores            ,sadness
392,parce tras del hecho uno le sale gente    ,anger
393,para muchos no serum gran cosa pero para mi y,sadness
394,to                  ,sadness
395,como voy hacer para dormir solo hoy      ,sadness
396,grabe                  ,anger
397,y no merecen menos            ,joy
398,mi meta e bajar 15 kilo en 3 amp lo,joy
399,ademas terminar entender no todo e malo y todo puede,joy
400,nunca ni con el rosa guadalupe        ,sadness
401,cuanto valen unos drone quiero hacer una      ,joy
402,ganas hablarle y todo vuelva ser como ante pero se,sadness
403,necesito mucho como ayer            ,sadness
404,decepcion cuando para tantas persona se terminaron re cagando en,joy
405,hoy se y estoy un 40        ,sadness
406,seria mi vida si no tuviera mi abuelos    ,joy
407,urge alguien para coger despues ver estoy muy    ,sadness
408,supongo si nunca he amado una pareja      ,joy
409,mal                  ,sadness
410,se ya estoy vieja porque por mas veces le he,sadness
411,ante nadie le dio un para        ,anger
412,gracias por decirme todo el mundo salio mientras yo estaba,joy
413,mi novio y yo hicimos buena obra del dia con,sadness
414,no puedo con gente se queja por todo y no,sadness
415,algo se tendra              ,sadness
416,ojala bien                ,sadness
417,hay persona llegan tu vida para quedarse definitivamente    ,joy
418,mucho ingles mucho ingles y tienen unas faltas ortografia terribles,sadness
419,vuelta                  ,joy
420,se taller sobre como salir en ellas y volver salir,joy
421,en este momento estaria odiando          ,anger
422,porra                  ,anger
423,si e verdad los ninos hasta pueden el mal rato,joy
424,no se da cuenta deje todo parece      ,anger
425,estos minutos ante 700 pm se hacen      ,anger
426,animo esto e muy injusto con todo el trabajo tan,joy
427,no entiendo ya              ,sadness
428,en verdad lo extrano demasiado y mi hermosa    ,sadness
429,acorde del final the y puse triste      ,sadness
430,mal                  ,anger
431,soy del mundo              ,joy
432,no                  ,sadness
433,necesito hablar con alguien  urge        ,sadness
434,no estoy llorando se metio un si te queria ver,sadness
435,gracias por como toda vida basura eres      ,joy
436,ahora siento mal mi amigo este esperando 5 anos el,sadness
437,? porque e tan dificil subir peso      ,sadness
438,queria al menos mi ya tienen un color mas  ,joy
439,en valencia podria ser el titulo una novela pero no,sadness
440,ahora si e oficial sin barba hasta nuevo aviso  ,sadness
441,da bronca le salga todo mal jajajaj      ,anger
442,20 in day se no esta poniendo viejito ya  ,sadness
443,solo horas para se vaya          ,sadness
444,para mi y yo no hablo con muertos    ,joy
445,"hoy en mi recuerdos facebook un "" mi amor """,sadness
446,le el dedo chiquito            ,anger
447,siento amor al e todo lo vivo      ,sadness
448,siempre dejando todo ultimo momento          ,joy
449,por favor y gracias            ,joy
450,no estuve en para el cumple mi abuelos algo mas,sadness
451,largo se va hacer este          ,sadness
452,e tan hermosos este video por chucha      ,joy
453,ojala el futbol como ti te gusta para bebe  ,sadness
454,lindo despertarme y tener esos msj        ,joy
455,hoy juego y duele el tobillo lpm      ,sadness
456,ese era el barca            ,anger
457,todavia ni entro clases y ya cambiarme manana    ,sadness
458,hoy estuve en y le regale una camiseta    ,joy
459,tengo un companero habla espanol ingles frances y aleman y,joy
460,quiero irme muy lejos y mi viejos por un tiempo,sadness
461,yo queria hablar con el          ,sadness
462,algo esta pasando              ,joy
463,asi como cuando tu telefono se un video especial y,sadness
464,quiero facturas                ,sadness
465,el piercing dormido toda almohada con sangre deje    ,anger
466,lo estaria necesitando un abrazo          ,sadness
467,ay no pongas esa amo mucho [?]      ,sadness
468,hey por si lee esto te extrano      ,sadness
469,en horas no se dia porque no se mas y,sadness
470,ya manana quito barba            ,joy
471,pense se estaba remera en foto jajaj casi   ,joy
472,no espera estos 4 anos          ,sadness
473,y yo aqui en chinga          ,sadness
474,el destino se              ,sadness
475,no existe peor sensacion            ,sadness
476,molesta hable mi jefa no ve estoy     ,anger
477,bien los pibes hoy ahora dormir        ,joy
478,debo mas ultima vez te vi        ,sadness
479,mi crush maldita              ,anger
480,lindo dia para estar tomando mate e una plaza y,sadness
481,genial te y seguir adelante con el proceso    ,joy
482,recien despertando                ,joy
483,ya lo han encontrado ! muchas gracias todos los  ,joy
484,necesito mas amigo como dejar el        ,joy
485,pesar todo hoy siento va ser un buen dia  ,joy
486, bueno esto e para importantes para mi y para,joy
487,veces cambios son buenos            ,joy
488,ahora ya estoy vacaciones y ya estare mas tiempo aqui,joy
489,todo muy lindo con alla un bebe en casa pero,sadness
490,decepcion                  ,sadness
491,el sol pone buen humor          ,joy
492,serio ya no quiero tomar          ,joy
493,e esto                ,joy
494,justo mi cora ahora            ,sadness
495,todos los dias acuerdo mi gata  ya ha pasado,sadness
496,casi termine bien un dia eso ya e todo un,joy
497,yo tampoco estoy preparada            ,sadness
498,? se hizo el            ,sadness
499,perdon vecinos yo tambien mi madre si un carro no,sadness
500,esperando ver soledad en los 50 mirtha      ,sadness
501,diosito solo te pido mi abuelita dure con nosotros mas,sadness
502,no se si tengo o soy el mismo idiota en,sadness
503,extrano sentir tu piel            ,joy
504,espero cosas no van            ,sadness
505,ahora estan porque son asi          ,joy
506,asco vida dia existencia y todo        ,sadness
507,como odio y pone mal humor ver el auto  ,anger
508,yo ya habia planeado nuestra boda pero no y asi,joy
509,como odio estar asi            ,anger
510,diablo fuerte                ,sadness
511,recien llego mi casa y estan toda tengo dormir en,anger
512,alguien quiera un mi cuenta spotify mil e mi cuenta,joy
513,tenia muchas ganas parte fuerza pero con todo lo q,sadness
514,ma no puedo ser una          ,anger
515,hasta esa suerte voy tener          ,anger
516,ahora si ya se puede esta cosa      ,joy
517,un estomago                ,sadness
518,yo pq soy solo un          ,sadness
519,te llame un 24 para si ibamos ir al cine,sadness
520,no sea tan              ,joy
521,ya extrano                ,sadness
522,para si sabes con esa voz enferma tenes gracias hermana,joy
523,esa no fue manera            ,sadness
524,5 anos  y te extrano como nunca    ,sadness
525,acabo ver una un perro se parece demasiado al mio,sadness
526,ya no quiero sentirme asi          ,sadness
527,sueno tan                ,sadness
528,yo no veo lo            ,anger
529,mi talento e sentir y decir cosas bonitas para se,joy
530,bueno ya puedo ir esta gripe se acerca el finde,anger
531,buenas noches manana arranque una semana        ,joy
532,ya tu sabes bb            ,joy
533,no se porque estoy sintiendo nuevo esto      ,sadness
534,caga vayan e ir en va perdiendo      ,anger
535,ya dio pereza salir            ,sadness
536,triste                  ,sadness
537,yo siempre duermo mal            ,sadness
538,ya el capitulo 4 el 5 falta el 6 y,joy
539,con esta calor no se puede dormir      ,anger
540,caga engordar  manana comienzo con puro agua simple y,anger
541,? varias ninas al mismo tiempo hijos toda su madre,joy
542,del marginal  micaviciconteig micaelistas kcaargentina        ,joy
543,cada ano se hace ma larga epoca examenes    ,sadness
544,hubiera pasar este dia contigo  [?]      ,sadness
545,ahora si ya e ya          ,anger
546,saldre caminar en noche asi mas mi mente    ,sadness
547,extrano                  ,sadness
548,manera perder el tiempo con el        ,anger
549,excelente programa con un lindo final  lugaresquehablan    ,joy
550,hago todo mal              ,sadness
551,cd no puedes dormir y f twitter como una 20,joy
552,ya aprendi aceptar estando asi en puedo ser    ,joy
553,no te con estoy            ,sadness
554,esto dormir en el y tener despertarme x cualquier ruido,anger
555,e buen                ,joy
556,callate eran 9 cuando conoci          ,sadness
557,este telefono anda un por nada y lo contra pared,anger
558,como odio el wifi casa          ,anger
559,y lo no espera            ,sadness
560,no puedo vivir con esta angustia        ,sadness
561,y en no hay            ,anger
562,uno e jugador hasta conoce pizza borde con    ,sadness
563,dame un beso eso hasta el lunes  pero solo,joy
564,donde diablos se han ido mi ganas dormir    ,sadness
565,dolor cabeza                ,sadness
566,caga le digan al taco tortilla normal alv    ,anger
567,yo cuando fui jajaja            ,sadness
568,si asi empece manana no quiero imaginar lo queda del,joy
569,y si no le gusta mi perro pues entonces no,anger
570,escucharlo jodio bien duro            ,sadness
571,manana tengo practica y yo aqui bien pendeja llorando por,joy
572,debe ser bonito              ,sadness
573,si hay algo odio e gente haga esperar cuando se,anger
574,va ganando fotos asi no hare dibujos y un momento,joy
575,porque mi papa no e un hombre      ,sadness
576,duda aqui                ,joy
577,extrano mucho ese dia ese momento        ,sadness
578,! fuera el intenso fuera mi crush y no este,sadness
579,todo sale mal              ,sadness
580,nose porq estoy despierta esta hora un sabado  todo,joy
581,vamos vos podes              ,sadness
582,uh para tenes celular sino va responder nunca en vida,anger
583,cuando se te cante el orto        ,anger
584,6                  ,joy
585,no deseo el mal pero ojala el robo el celular,anger
586,pasando por se ve el humo del      ,sadness
587,vato soy dando el  solo se abrazar nunca salen,sadness
588,todos los del 2018            ,joy
589,no tanto sus gente y situacion        ,anger
590,mi vieja para tomar pastilla dios mio      ,anger
591,como para no al momento decidir algo  verdad  ,joy
592,? alguien quiera conmigo            ,sadness
593,manera extranar                ,sadness
594,solo tres persona estaran en el  suerte  flor,joy
595,e lo peor estar mal humor        ,anger
596,encontre conversaciones con fer y e imposible no ojala pueda,sadness
597,estar solo lejos casa con insomnio y escuchando e buena,sadness
598,literal miguel y yo cuando amaba        ,sadness
599,no podia faltar en el pablo el sea por el,sadness
600,facil te e una persona fria ni le pasas por,sadness
601,increible lo mal siento y lo mucho duele todo el,sadness
602,uno no puede ir al bano en paz porque ya,sadness
603,hola                  ,joy
604,rico fue pasar unas horas haciendo exactamente lo tenia ganas,joy
605,primer paso para tener una cintura no ir comer hamburguesa,sadness
606,mate y chocotorta cn            ,joy
607,cine probablemente nunca llegara mexico          ,sadness
608,2 quimica 3              ,anger
609,lo malo vivir en el quinto e tengo salir con,joy
610,su novia ya gano donde estas los hombre asi  ,sadness
611,un                  ,anger
612,chingados estan en el otro lado        ,anger
613,y sentimientos no deseo volver  angustia miedo tristeza dolor,sadness
614,tan mal voy sentir            ,sadness
615,bueno y asi un cumpleanos ma  con muchas sorpresas,joy
616,cuanto este partido              ,joy
617,lo trato hacer              ,joy
618,e clave vez q tengo plane salir con mi amigas,anger
619,donde ser siempre tu ese e el lugar perfecto  ,joy
620,detesto el calor              ,anger
621,luna hablame no puedo saber pasa si no hablas  ,sadness
622,estoy re no puedo dormir loco        ,anger
623,se acabo el fin semana          ,sadness
624,yo tmb jugar play            ,anger
625,aun sufro al pensar todo acabo asi      ,sadness
626,dejate joder jaja ni el dia recien estoy dejen llevarme,sadness
627,voy levantar solo para ir comprarme        ,sadness
628,tanto duele cabeza              ,anger
629,soy yo                ,sadness
630,lo no e coincidencia e te haya tus do numeros,sadness
631,paja todo                ,sadness
632,levante para llorar solamente            ,sadness
633,ver como va este pinche semestre        ,joy
634,estoy esperando mi dias asi basura donde trabajo    ,joy
635,siempre todos se van viaje no tengo cono comer  ,sadness
636,estos partidos no fin temporada ctm        ,anger
637,? pedo voy saliendo banar y ya no gol  ,sadness
638,porque hay gente no deja hablar en el cine  ,anger
639,como no podemos ser uno          ,anger
640,estres facultad salud              ,joy
641,ojala se pudiera mandar en lo sientes ojala gente ojala,sadness
642,en momentos como este molesta mucho no ser una pro,anger
643,un re                ,joy
644,hay persona te esperan 2 anos y otras te en,sadness
645,cansada quedarme en mi casa siempre        ,anger
646,una buena sonrisa              ,joy
647,dios mio como extranaba estos dias        ,joy
648,estoy re pero no podemos ser nada feo    ,sadness
649,como hace falta mi vieja          ,sadness
650,cuando todo esta bien todo se ve bien    ,joy
651,ganas un kilo helado pero en do dias tengo pesar,joy
652,por pedro barra libre            ,sadness
653,tomando y disfrutando pero no te saco mi mente  ,sadness
